pid,item,human1_score,human2_score,classifier_score
566feba6b937e400052d33b2,agenda,6.0,3.0,5.0
56f699e876348f000c883bba,agenda,2.0,,4.0
577a3dfd92c50c0001c9488f,agenda,2.0,3.0,4.0
57b4a771cda70d0001534835,agenda,4.0,3.0,3.0
57c357770e6a1f00015f6038,agenda,4.0,6.0,4.0
57dd3b0e91b7fc0001493db9,agenda,6.0,6.0,5.0
58d43fb77c08be0001c24830,agenda,4.0,5.0,5.0
595d3afcdd044900012ce78a,agenda,6.0,6.0,5.0
5962a5b29955ee00015bce98,agenda,2.0,5.0,5.0
598f22af33481c000164d359,agenda,0.0,4.0,4.0
599442e6bf8bcf0001ab6857,agenda,5.0,5.0,5.0
5997043dbbe84800017964a7,agenda,4.0,6.0,4.0
599ab130b5566b0001aa85bb,agenda,4.0,2.0,5.0
599acb2f6c165e000113fc70,agenda,4.0,6.0,5.0
59baa4f5178f1b00018289b2,agenda,2.0,3.0,4.0
59d1f0fffaf42e00012b6c20,agenda,2.0,5.0,5.0
59d3b07947f4e80001a6c551,agenda,2.0,5.0,4.0
59dccd61e75b450001a689b7,agenda,6.0,6.0,5.0
59e7232f24d7bf00012f112e,agenda,3.0,2.0,3.0
59ef022eae9f950001d84a43,agenda,6.0,5.0,5.0
5a57e4f7acc75b00017a2dcd,agenda,2.0,2.0,4.0
5a75b131eea3d300016ddc70,agenda,2.0,5.0,4.0
5a9c41f2dbdb470001eeef9c,agenda,4.0,0.0,4.0
5a9c4b3d35237b000112a00e,agenda,5.0,5.0,5.0
5aafd9eff69e940001d88bf4,agenda,0.0,0.0,2.0
5b2bcfb51835660001cc6751,agenda,3.0,3.0,4.0
5b2bd649ed66460001e86e39,agenda,6.0,4.0,5.0
5b4a3ab1bc06c90001f902f4,agenda,1.0,6.0,4.0
5bf53b3c87780800014ed5aa,agenda,0.0,2.0,5.0
5c197c9c020cbb00011201fe,agenda,2.0,4.0,5.0
5c37a0e7bef9a20001e3a497,agenda,6.0,2.0,5.0
5c407a2c41b3f9000195e19f,agenda,6.0,6.0,5.0
5c4602713d08e80001369876,agenda,2.0,4.0,5.0
5c4a061161db8c00015e4fb0,agenda,6.0,3.0,5.0
5c59e12429f64c0001cc6436,agenda,2.0,1.0,3.0
5c5b66cb3312f1000112f694,agenda,6.0,5.0,5.0
5c5d36bc034e280001644c3b,agenda,0.0,2.0,3.0
5c5ff87f8c0552000109d7de,agenda,0.0,2.0,4.0
5c72f9bf8711bf000139c5ee,agenda,0.0,0.0,2.0
5cad1eef8ed53d00180d2532,agenda,0.0,3.0,2.0
5cb87813635b940017c2037a,agenda,6.0,2.0,5.0
5cc99062d918560016acf6ac,agenda,3.0,2.0,4.0
5ce15b0ea7b516001828c646,agenda,0.0,,4.0
5cedaba627d8ce00018469bb,agenda,3.0,,2.0
5d02a158c8a372001abf3b30,agenda,0.0,6.0,5.0
5d038adefda4bb00013f8afb,agenda,4.0,6.0,5.0
5d0a5d36d41b4b00172c3cc9,agenda,3.0,4.0,4.0
5d20c6d5b1e50a001c19e622,agenda,0.0,0.0,3.0
5d3bfbebfd9694001a2d0f99,agenda,4.0,2.0,5.0
5d6d729b679b200019c12498,agenda,5.0,6.0,5.0
5db7203e98ecdf000ae8d504,agenda,1.0,1.0,3.0
5dcfaad2dd9a740c2493fc28,agenda,2.0,6.0,5.0
5e234e6d06121f5eceaba7f1,agenda,6.0,2.0,5.0
5e4feb8037713502e9ed364b,agenda,2.0,4.0,5.0
5e7d1c1e70dd753a081a29d9,agenda,5.0,5.0,5.0
5e7e1679f8a96f4be83e51e4,agenda,5.0,6.0,5.0
5e9086ca917d9039e3c4cd25,agenda,6.0,6.0,5.0
5ecd61476e04500905a6eed2,agenda,6.0,6.0,5.0
5f04dc9fb117c31680c1a4f5,agenda,0.0,0.0,4.0
5f05ef4bd552bc0009e5566c,agenda,3.0,2.0,5.0
5f0c86cbe4af1361b7158f3e,agenda,4.0,6.0,5.0
5f11eb333c6e2c0df5b92270,agenda,0.0,0.0,5.0
5f1beeacb55680420cfcae9e,agenda,0.0,0.0,4.0
5f2f280854c3203084e218e5,agenda,6.0,3.0,5.0
5f35222b79aaa5065c8919bd,agenda,0.0,2.0,4.0
5f4fbebb8bb76c0c01881651,agenda,3.0,4.0,4.0
5f514593ea1e87365b9cb05f,agenda,0.0,1.0,3.0
5f653cb18aad310a9ee7c32d,agenda,3.0,0.0,3.0
5f70576bb22a006197aea6de,agenda,6.0,6.0,5.0
5fb8dc3c8e8e964121c6aa4c,agenda,3.0,2.0,4.0
5fd4d10b2f970406fe63ad96,agenda,5.0,5.0,5.0
5fef2fa9efea401f0b55a7c2,agenda,0.0,0.0,4.0
6002ae1ea178912bfa128adf,agenda,5.0,4.0,5.0
600c125c46cf802e41733705,agenda,2.0,0.0,4.0
604a4755d62e5590404b5426,agenda,1.0,4.0,4.0
604fa685e33606f9a0ee8189,agenda,6.0,6.0,5.0
60537fdcda0ac05f1c59c57f,agenda,0.0,4.0,5.0
605731872f40ec675cdf1f0b,agenda,3.0,6.0,5.0
605a25c743f7ab91b0881ddf,agenda,4.0,3.0,5.0
609510855d0c8e5bd0bdaf98,agenda,5.0,6.0,5.0
609eda349f5d29975fbc2145,agenda,5.0,5.0,5.0
60ae777b1f2abe681e903d0d,agenda,2.0,2.0,4.0
60d3867b6e7529fc77032b54,agenda,2.0,,1.0
60fae066c4ab91522a85f075,agenda,2.0,0.0,4.0
6100105892a2248ae5d48498,agenda,4.0,2.0,4.0
6107b81f125c20be9e368b49,agenda,6.0,6.0,5.0
61166b2cec63d8ea49e36aac,agenda,6.0,6.0,5.0
61333ed3b980f519ee86c45c,agenda,0.0,0.0,4.0
61572b39d8a0be3869ccd5ae,agenda,4.0,6.0,5.0
616c83fb9916289f401fb837,agenda,3.0,4.0,5.0
6234905bd877b34677aaa521,agenda,0.0,0.0,2.0
62a76cb3209f192d4ac62bec,agenda,6.0,3.0,5.0
62ac24c9af89f1f28aea1d11,agenda,6.0,6.0,5.0
62c5ebe612c40c7e32390bf6,agenda,2.0,3.0,4.0
62e3f7b224ec70641fd86b7b,agenda,6.0,4.0,5.0
62fbd2e4a303a0c6ff0874b1,agenda,2.0,2.0,5.0
63469da3cef76cc5b3523b97,agenda,6.0,5.0,5.0
6346e117e4e283094ff51b84,agenda,1.0,2.0,4.0
638e2eed82fa613f2140ba13,agenda,4.0,,5.0
6394a8f1f510b07aeaf465e0,agenda,0.0,2.0,4.0
6399d599c9d83e0ed0317ea2,agenda,1.0,0.0,4.0
63e57ca5d6e126546cfc66bf,agenda,5.0,4.0,5.0
63f85b1c3124fd03faff2126,agenda,5.0,,4.0
640485331e13a7bfa4a43d46,agenda,2.0,3.0,5.0
6441204e8a1c0c51415ce0f8,agenda,5.0,2.0,4.0
6441795624090301ddeba81e,agenda,0.0,0.0,2.0
6447cf4c43802edcd6b846bc,agenda,6.0,6.0,5.0
64784f5998230a548cb9cc60,agenda,6.0,6.0,5.0
648028bc524faa07ef0547eb,agenda,3.0,3.0,4.0
6501b7fd7c5faeb580b81204,agenda,2.0,6.0,5.0
65030c046782881e902a5aaa,agenda,4.0,6.0,5.0
650ae1b2157df341fd193714,agenda,6.0,6.0,5.0
65456ebc819cdd5600552571,agenda,4.0,4.0,5.0
6559e8fcb4e07db3db4e2165,agenda,2.0,2.0,3.0
656f3c80f7ac5f41e230b9ee,agenda,4.0,6.0,5.0
6570824312e21ad0a49858f4,agenda,0.0,,2.0
657b2d22191dda04598ef38b,agenda,4.0,6.0,5.0
65ff48ba8866040c0d0649c5,agenda,0.0,0.0,2.0
66084cde8c8b94db6ce51ac9,agenda,3.0,6.0,5.0
660ed790b7c0b8649c41f432,agenda,6.0,5.0,5.0
6630f6bfbdc7906ef7c0ee24,agenda,2.0,0.0,4.0
66338f4346e84e4f0469bc21,agenda,3.0,3.0,4.0
663a28078139647b4663d09f,agenda,3.0,4.0,4.0
664b530d4cf8b88b68548a11,agenda,2.0,,2.0
6658b161dc9f95822cbcf443,agenda,6.0,,6.0
6658b52898569e477b21cf41,agenda,4.0,6.0,5.0
6658c369bc36ded0ffe472b8,agenda,2.0,2.0,4.0
