pid,mood_t0,mood_t1,belief_human,feel_human,waisr_task_1,waisr_task_2,waisr_bond_1,waisr_goal_1,waisr_bond_2,waisr_goal_2,waisr_bond_3,waisr_goal_3,waisr_bond_4,waisr_task_3,waisr_goal_4,waisr_task_4
66fd3f6c93c24ecc119be354,3,3,1,1,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral
5f2f280854c3203084e218e5,3,6,1,4,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral
66c746f450506abe4d80b5e1,4,6,1,1,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
6346e117e4e283094ff51b84,4,4,1,1,Disagree,Neutral,Strong Disagree,Neutral,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Strong Disagree,Neutral,Neutral,Agree
5d20c6d5b1e50a001c19e622,5,6,2,3,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree
676d0d8ea1b34584f966c1f6,6,6,1,7,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree
6676e7538c7c4c68e18aa31a,5,6,2,5,Strong Agree,Strong Agree,Agree,Agree,Agree,Neutral,Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Agree
5f1beeacb55680420cfcae9e,4,5,1,5,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strong Agree,Agree,Agree
6779cadff8dc4ddeecc54ce2,4,7,2,4,Agree,Agree,Strong Disagree,Strong Agree,Agree,Strong Agree,Neutral,Strong Agree,Neutral,Agree,Strong Agree,Agree
65030c046782881e902a5aaa,5,7,1,3,Strong Agree,Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Agree,Strong Agree
