ctrs_agenda,ctrs_feedback,ctrs_understanding,ctrs_interpersonal,ctrs_collaboration,ctrs_pacing,ctrs_discovery,ctrs_focus,ctrs_strategy,ctrs_technique,ctrs_homework,conversation_id,ctrs_overall,pid
2,2,3,3,2,2,2,2,2,2,0,gptchats_14160,2.0,80241212
2,2,3,3,2,3,2,2,2,2,0,gptchats_55882,2.090909090909091,80338999
0,0,2,2,0,0,0,0,0,0,0,gptchats_54544,0.3636363636363636,80339113
2,2,3,3,2,2,2,2,2,2,0,gptchats_29587,2.0,80326477
2,2,4,4,3,3,3,3,3,3,2,gptchats_18982,2.909090909090909,80238270
2,2,3,3,3,3,2,2,2,2,0,gptchats_11018,2.1818181818181817,80241059
2,2,2,2,2,2,2,2,2,2,0,gptchats_16777,1.818181818181818,80258807
2,2,3,3,2,2,2,2,2,2,0,gptchats_2786,2.0,80229082
0,0,2,2,0,0,0,0,0,0,0,gptchats_60839,0.3636363636363636,80346224
2,2,3,3,2,2,2,2,2,2,0,gptchats_59060,2.0,80338172
2,2,3,3,2,2,2,2,2,2,0,gptchats_21865,2.0,80287957
2,2,3,3,2,2,2,2,2,2,0,gptchats_4491,2.0,80225610
2,2,3,3,3,3,2,2,2,2,0,gptchats_46626,2.1818181818181817,80339024
2,2,3,3,2,3,2,2,2,2,0,gptchats_58418,2.090909090909091,99342622
2,2,3,3,3,3,2,2,2,2,0,gptchats_60187,2.1818181818181817,80340845
2,2,4,4,3,3,3,3,3,3,2,gptchats_6408,2.909090909090909,80229023
2,2,3,3,2,2,2,2,2,2,0,gptchats_54222,2.0,80261928
2,0,2,2,2,2,0,0,0,0,0,gptchats_62948,0.9090909090909092,10348692
2,2,3,3,2,2,2,2,2,2,0,gptchats_72583,2.0,30358572
2,2,3,3,3,3,2,2,2,2,0,gptchats_43986,2.1818181818181817,80338699
2,2,3,3,3,3,2,2,2,2,0,gptchats_13169,2.1818181818181817,80229777
2,0,3,3,2,2,1,2,1,0,0,gptchats_73845,1.4545454545454546,70107705
2,2,4,4,3,3,2,2,2,2,2,gptchats_42440,2.5454545454545454,80332653
2,2,3,3,2,3,2,2,2,2,0,gptchats_54236,2.090909090909091,80338436
4,4,4,4,4,4,4,4,4,4,4,coaching_20318,4.0,80346274
2,2,3,3,2,2,2,2,2,2,0,gptchats_14612,2.0,80250855
2,2,3,3,2,2,2,2,2,2,0,gptchats_21871,2.0,80232255
2,2,3,3,2,2,2,2,2,2,0,gptchats_67824,2.0,80234177
2,2,3,3,2,2,2,2,2,2,0,gptchats_56421,2.0,80342791
2,2,2,2,2,2,2,2,2,2,0,gptchats_10474,1.818181818181818,80239820
0,0,2,2,2,2,0,0,0,0,0,gptchats_5943,0.7272727272727273,80234211
0,0,2,2,0,2,0,0,0,0,0,gptchats_40243,0.5454545454545454,80337285
2,2,3,3,3,3,2,2,2,2,2,gptchats_60193,2.363636363636364,80333927
2,2,3,3,2,2,2,2,2,2,0,gptchats_69809,2.0,80333927
2,2,3,3,2,2,2,2,2,2,0,gptchats_29593,2.0,80331276
1,2,3,3,2,2,1,2,2,1,0,gptchats_57059,1.7272727272727273,80343228
2,2,3,3,2,2,2,2,2,2,2,gptchats_18996,2.1818181818181817,80234852
2,0,3,3,2,2,2,2,2,0,0,gptchats_50736,1.6363636363636365,80340458
2,2,3,3,2,3,2,2,2,2,0,coaching_22269,2.090909090909091,30352882
2,2,3,3,2,2,2,2,2,2,0,gptchats_51428,2.0,80338987
2,2,3,3,2,2,2,2,2,2,0,gptchats_728,2.0,80224977
0,0,2,2,0,0,0,0,0,0,0,gptchats_10312,0.3636363636363636,80239846
2,2,4,4,3,3,2,2,2,2,0,gptchats_64493,2.363636363636364,80228513
0,1,2,2,2,2,1,2,2,1,0,gptchats_12505,1.3636363636363635,80243179
0,0,2,2,0,0,0,0,0,0,0,gptchats_9049,0.3636363636363636,80232236
2,2,3,3,2,2,2,2,2,2,0,gptchats_65955,2.0,40354792
3,3,4,4,3,3,3,3,3,3,3,gptchats_57071,3.1818181818181817,80341424
0,1,2,2,1,2,1,1,1,1,0,gptchats_48151,1.0909090909090908,80339874
2,2,3,3,3,3,2,2,2,2,2,gptchats_60805,2.363636363636364,80255247
2,0,2,2,2,2,2,2,2,2,0,gptchats_700,1.6363636363636365,80224623
2,2,3,3,2,2,2,2,2,2,0,gptchats_27596,2.0,80327679
2,2,2,2,2,2,2,2,2,2,0,gptchats_2962,1.818181818181818,80229261
0,0,2,2,0,0,0,0,0,0,0,gptchats_74870,0.3636363636363636,10338400
2,2,3,3,2,2,2,2,2,2,0,gptchats_52109,2.0,80339228
2,2,3,3,2,2,2,2,2,2,0,gptchats_9837,2.0,80236173
2,2,3,3,2,2,2,2,2,2,0,gptchats_43004,2.0,80338210
0,0,2,2,2,2,0,0,0,0,0,gptchats_23928,0.7272727272727273,80309408
2,2,3,3,2,2,2,2,2,2,0,gptchats_15524,2.0,80254583
4,3,4,4,4,4,4,4,4,4,4,coaching_20330,3.909090909090909,80346326
2,2,3,3,2,2,2,2,2,2,0,gptchats_17333,2.0,80235977
2,2,4,4,3,3,2,2,2,2,0,gptchats_30954,2.363636363636364,80240280
2,2,3,2,2,2,2,2,2,2,0,gptchats_30798,1.9090909090909092,80334067
