conversation_id,item,human_score,classifier_score
coaching_10082,agenda,0,2
coaching_11206,agenda,0,2
coaching_11341,agenda,0,3
coaching_12437,agenda,0,2
coaching_12461,agenda,0,2
coaching_12599,agenda,2,2
coaching_12602,agenda,1,4
coaching_12753,agenda,0,2
coaching_13006,agenda,3,3
coaching_13413,agenda,0,2
coaching_13540,agenda,0,2
coaching_13813,agenda,1,2
coaching_14053,agenda,0,2
coaching_14068,agenda,0,2
coaching_14251,agenda,0,2
coaching_14575,agenda,0,2
coaching_14964,agenda,0,2
coaching_14967,agenda,1,2
coaching_15558,agenda,0,2
coaching_15775,agenda,0,2
coaching_15808,agenda,0,2
coaching_15881,agenda,0,2
coaching_16203,agenda,0,3
coaching_16442,agenda,0,3
coaching_16555,agenda,4,2
coaching_16595,agenda,0,2
coaching_16615,agenda,1,2
coaching_16649,agenda,1,3
coaching_16754,agenda,0,2
coaching_16834,agenda,0,2
coaching_16948,agenda,0,2
coaching_17692,agenda,1,2
coaching_17728,agenda,0,2
coaching_1810,agenda,0,2
coaching_18105,agenda,0,2
coaching_182,agenda,0,2
coaching_18233,agenda,0,2
coaching_18320,agenda,0,3
coaching_18764,agenda,0,2
coaching_18970,agenda,0,2
coaching_19019,agenda,1,2
coaching_19351,agenda,1,2
coaching_19681,agenda,0,2
coaching_20504,agenda,1,4
coaching_20991,agenda,0,2
coaching_21142,agenda,0,2
coaching_21609,agenda,2,2
coaching_22319,agenda,2,2
coaching_22352,agenda,0,2
coaching_22357,agenda,0,2
coaching_22426,agenda,0,2
coaching_2479,agenda,0,2
coaching_2762,agenda,1,2
coaching_2815,agenda,0,2
coaching_2914,agenda,0,2
coaching_2975,agenda,0,2
coaching_2985,agenda,0,2
coaching_3077,agenda,0,2
coaching_3591,agenda,0,2
coaching_3724,agenda,0,2
coaching_4206,agenda,0,2
coaching_4422,agenda,0,2
coaching_4640,agenda,1,3
coaching_4743,agenda,0,2
coaching_5702,agenda,0,4
coaching_6016,agenda,2,2
coaching_6056,agenda,0,2
coaching_6296,agenda,0,2
coaching_6315,agenda,0,2
coaching_65,agenda,0,2
coaching_6562,agenda,0,2
coaching_6602,agenda,0,2
coaching_6878,agenda,0,2
coaching_6879,agenda,0,2
coaching_6905,agenda,0,3
coaching_7291,agenda,0,2
coaching_7588,agenda,0,2
coaching_8296,agenda,4,3
coaching_8521,agenda,1,2
coaching_9,agenda,0,2
coaching_9244,agenda,1,2
coaching_9804,agenda,0,2
gptchats_12568,agenda,0,2
gptchats_13113,agenda,0,2
gptchats_14663,agenda,0,2
gptchats_15316,agenda,0,2
gptchats_16299,agenda,1,2
gptchats_1639,agenda,0,2
gptchats_17476,agenda,0,2
gptchats_20901,agenda,0,2
gptchats_22140,agenda,0,2
gptchats_22310,agenda,0,2
gptchats_24281,agenda,1,0
gptchats_27259,agenda,0,2
gptchats_27586,agenda,0,2
gptchats_27983,agenda,1,2
gptchats_28009,agenda,0,2
gptchats_28340,agenda,1,0
gptchats_2867,agenda,0,2
gptchats_29760,agenda,2,2
gptchats_30255,agenda,1,2
gptchats_30732,agenda,1,2
gptchats_35588,agenda,0,2
gptchats_36795,agenda,0,2
gptchats_3847,agenda,0,2
gptchats_4378,agenda,0,2
gptchats_45951,agenda,0,2
gptchats_48626,agenda,0,2
gptchats_48713,agenda,0,2
gptchats_49728,agenda,0,2
gptchats_51176,agenda,0,2
gptchats_52983,agenda,1,2
gptchats_5925,agenda,0,2
gptchats_60674,agenda,0,2
gptchats_60862,agenda,0,2
gptchats_61082,agenda,0,2
gptchats_65190,agenda,0,2
gptchats_66708,agenda,0,2
gptchats_67331,agenda,0,2
gptchats_67808,agenda,0,2
gptchats_68183,agenda,0,2
gptchats_72125,agenda,0,2
gptchats_7442,agenda,0,2
gptchats_75011,agenda,0,2
gptchats_75922,agenda,1,2
gptchats_778,agenda,0,2
gptchats_7896,agenda,0,2
gptchats_9583,agenda,0,2
coaching_10082,feedback,3,2
coaching_11206,feedback,0,2
coaching_11341,feedback,0,3
coaching_12437,feedback,4,2
coaching_12461,feedback,0,2
coaching_12599,feedback,0,2
coaching_12602,feedback,3,3
coaching_12753,feedback,0,2
coaching_13006,feedback,5,3
coaching_13413,feedback,0,2
coaching_13540,feedback,2,3
coaching_13813,feedback,4,2
coaching_14053,feedback,4,2
coaching_14068,feedback,0,2
coaching_14251,feedback,2,2
coaching_14575,feedback,3,2
coaching_14964,feedback,0,2
coaching_14967,feedback,4,3
coaching_15558,feedback,3,2
coaching_15775,feedback,1,0
coaching_15808,feedback,5,2
coaching_15881,feedback,0,2
coaching_16203,feedback,2,3
coaching_16442,feedback,5,3
coaching_16555,feedback,4,2
coaching_16595,feedback,2,2
coaching_16615,feedback,2,2
coaching_16649,feedback,4,3
coaching_16754,feedback,0,2
coaching_16834,feedback,0,2
coaching_16948,feedback,0,2
coaching_17692,feedback,2,2
coaching_17728,feedback,4,2
coaching_1810,feedback,2,2
coaching_18105,feedback,0,2
coaching_182,feedback,4,3
coaching_18233,feedback,2,2
coaching_18320,feedback,4,3
coaching_18764,feedback,2,2
coaching_18970,feedback,4,2
coaching_19019,feedback,2,2
coaching_19351,feedback,3,3
coaching_19681,feedback,0,2
coaching_20504,feedback,4,3
coaching_20991,feedback,2,2
coaching_21142,feedback,0,2
coaching_21609,feedback,2,2
coaching_22319,feedback,4,2
coaching_22352,feedback,2,2
coaching_22357,feedback,0,2
coaching_22426,feedback,0,0
coaching_2479,feedback,4,2
coaching_2762,feedback,4,2
coaching_2815,feedback,0,2
coaching_2914,feedback,2,2
coaching_2975,feedback,0,2
coaching_2985,feedback,0,2
coaching_3077,feedback,0,2
coaching_3591,feedback,0,2
coaching_3724,feedback,0,2
coaching_4206,feedback,0,2
coaching_4422,feedback,2,2
coaching_4640,feedback,6,3
coaching_4743,feedback,0,2
coaching_5702,feedback,4,3
coaching_6016,feedback,3,2
coaching_6056,feedback,2,3
coaching_6296,feedback,2,2
coaching_6315,feedback,4,2
coaching_65,feedback,0,2
coaching_6562,feedback,0,2
coaching_6602,feedback,2,2
coaching_6878,feedback,2,2
